"","AfD","DIE GRUENEN","DIE LINKE","FDP","SPD","CDU/CSU"
"spiegel",0.0437366656507162,0.122698268003646,0.120054437639739,0.0925436277102062,0.209120221096269,0.0608020698576973
"Sonstige",0.08473026516306,0.116773017319964,0.135802469135802,0.0902961396086727,0.170581913096883,0.120454218772459
"sueddeutsche",0.0140963120999695,0.0744758432087511,0.0441333722173617,0.0323902696985722,0.0779978504529403,0.0224234583872359
"welt",0.184242608960683,0.0476754785779398,0.0326625838436862,0.124272871496563,0.0405343159834178,0.0927123760241483
"tagesspiegel",0.0218683328253581,0.0498632634457612,0.0348984154758433,0.0493125330512956,0.0402272378320283,0.0271668822768435
"zeit",0.0156202377323987,0.0335460346399271,0.0282881306503354,0.0237969328397673,0.0296330416090895,0.0119304297829524
"tagesschau",0.0140963120999695,0.0435733819507748,0.038397978030524,0.0330512956107879,0.0287118071549209,0.0652580135115711
"faz",0.0460987503809814,0.0323609845031905,0.0202196947603772,0.0768112109994712,0.0222631659757408,0.0524651430214173
"auswaertiges-amt",7.61962816214569e-05,9.11577028258888e-05,9.72100709633518e-05,0.000132205182443152,0.0207277752187932,0.000287480235733793
"handelsblatt",0.0102103017372752,0.0379216043755697,0.0145815106445028,0.0588313061872025,0.0207277752187932,0.0301854247520483
"spdfraktion",0.000152392563242914,9.11577028258888e-05,0,0,0.0193459235375403,0
"bild",0.0729198415117342,0.00528714676390155,0.00311072227082726,0.0345055526176626,0.0122831260555811,0.0406784533563318
"zdf",0.00571472112160927,0.0126709206927985,0.012442889083309,0.00832892649391856,0.0115154306771073,0.0109242489578841
"focus",0.0727674489484913,0.00656335460346399,0.012442889083309,0.0288207297726071,0.0102871180715492,0.0224234583872359
"deutschlandfunk",0.00342883267296556,0.0144029170464904,0.00904053659959172,0.0076679005817028,0.00936588361738062,0.00919936754348138
"vorwaerts",0.000685766534593112,0.000182315405651778,9.72100709633518e-05,0,0.00936588361738062,0
"fr",0.00342883267296556,0.0154056517775752,0.0104014775930786,0.00185087255420412,0.00905880546599109,0.00143740117866897
"taz",0.00350502895458702,0.0533272561531449,0.0361621463983669,0.00528820729772607,0.00905880546599109,0.00373724306453931
"n-tv",0.0230874733313014,0.00929808568824066,0.013803830076796,0.0271020624008461,0.00829111008751727,0.0215610176800345
"gabi-weber-spd",0,0,0,0,0.00767695378473822,0
"rp-online",0.00487656202377324,0.00957155879671832,0.00690191503839798,0.0132205182443152,0.00706279748195916,0.0163863734368262
"spd",7.61962816214569e-05,9.11577028258888e-05,0,0,0.00706279748195916,0
"morgenpost",0.00990551661078939,0.00510483135824977,0.00641586468358122,0.0284241142252776,0.00660218025487487,0.0120741699008193
"t-online",0.0101341054556538,0.00546946216955333,0.00631865461261787,0.00528820729772607,0.00629510210348534,0.0043122035360069
"stuttgarter-zeitung",0.00327644010972265,0.00756608933454877,0.00155536113541363,0.00409836065573771,0.00598802395209581,0.00459968377174069
"berliner-zeitung",0.0038860103626943,0.0100273473108478,0.00981821716729853,0.0122950819672131,0.00583448487640104,0.00316228259307173
"muellerbettina",7.61962816214569e-05,0,0,0,0.00583448487640104,0
"herz-und-haltung",7.61962816214569e-05,0,0,0,0.00552740672501152,0
"stern",0.00434318805242304,0.00346399270738377,0.0056381841158744,0.00317292437863564,0.00552740672501152,0.00503090412534138
"soenke-rix",0,0,0,0,0.00522032857362199,0
"spd-schwarz",0,9.11577028258888e-05,0,0,0.00445263319514817,0
"br",0.00297165498323682,0.00574293527803099,0.00651307475454457,0.0035695399259651,0.00414555504375864,0.00316228259307173
"rnz",0.000304785126485827,0.00154968094804011,0.000680470496743463,0.00118984664198837,0.00399201596806387,0.000718700589334483
"haz",0.0044193843340445,0.00510483135824977,0.00311072227082726,0.00436277102062401,0.00368493781667434,0.00229984188587035
"kn-online",0.000609570252971655,0.001640838650866,0.000680470496743463,0.000528820729772607,0.00368493781667434,0.00100618082506828
"stuttgarter-nachrichten",0.00350502895458702,0.00309936189608022,0.00213862156119374,0.00515600211528292,0.00368493781667434,0.0043122035360069
"blickpunkt-arnsberg-sundern-meschede",0,0,0,0,0.00322432058959005,0
"de/index",0.00342883267296556,0.000273473108477666,9.72100709633518e-05,0,0.00322432058959005,0.000143740117866897
"ipg-journal",0,0.000182315405651778,0.000486050354816759,0,0.00322432058959005,0
"ndr",0.00259067357512953,0.00428441203281677,0.00505492369009429,0.00171866737176097,0.00322432058959005,0.00229984188587035
"spd-fraktion-hessen",0.000761962816214569,0,0,0,0.00307078151389529,0
"hessenschau",0.0033526363913441,0.00154968094804011,0.00116652085156022,0.000396615547329455,0.00291724243820052,0.000718700589334483
"abendblatt",0.000914355379457483,0.00109389243391067,0.000874890638670166,0.000528820729772607,0.00276370336250576,0.00474342388960759
"hna",0.000990551661078939,0.000820419325432999,0.000291630212890055,0.00105764145954521,0.00261016428681099,0.000143740117866897
"noz",0.000685766534593112,0.00957155879671832,0.00495771361913094,0.00211528291909043,0.00261016428681099,0.000574960471467587
